Date;2006-11-30 12:36:23
title;IBD
model;BTC112
c code;IBD
operator;
port1;0
baud1;3
pixel_start;0
pixel_end;2047
step;1
units;1
bkcolor;16777215
show_mode;0
data_mode;0
pixel_mode;0
intigration times;5
average number;20
spectrometer_type ;14
yaxis;1
yaxis_min;0
yaxis_max;65535
xaxis;1
xaxis_min;0
xaxis_max;2047
coefs_a0;231.943084241822
coefs_a1;0.406994147595924
coefs_a2;-4.3775084135389E-5
coefs_a3;-1.3768865065993E-9
coefs_b0;-728.069070757367
coefs_b1;3.36508502946526
coefs_b2;-0.0019617714298974
coefs_b3;2.01154622732E-6
all_data_save;1
select_option;-1
interval_time;50
pixel_num;2048
sel_pixel_start;0
sel_pixel_end;2047
sel_pixel_delta;1
dark_compensate;0
dark_compensate_value_1;0
dark_compensate_value_2;0
dark_compensate_value_3;0
monitor pixel_0;0
monitor pixel_1;0
monitor pixel_2;0
monitor pixel_3;0
monitor pixel_4;0
monitor pixel_5;0
vertical_line3_wv;250
vertical_line4_wv;250
vertical_line_flag;0
vertical_line_ratio;0
overlay_js;0
Pixel;Wavelength;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Raw data #2;Dark Subtracted #2;%TR #2;Absorbance #2;Raw data #3;Dark Subtracted #3;%TR #3;Absorbance #3;Errands Ref;Errands Fit;Irradiance_1;Irradiance_2;Irradiance_3
0;231.94;798.4000;783.7000;775.5000;-22.9000;110.0000;-0.0414;0.0000;-798.4000;110.0000;-0.0414;0.0000;-798.4000;110.0000;-0.0414;1.0000;0.0000;0.0000;0.0000;0.0000
1;232.35;798.4000;783.7000;775.5000;-22.9000;110.0000;-0.0414;0.0000;-798.4000;110.0000;-0.0414;0.0000;-798.4000;110.0000;-0.0414;1.0000;0.0000;0.0000;0.0000;0.0000
2;232.76;791.3500;791.9000;786.0500;-5.3000;0.0000;6.8165;0.0000;-791.3500;0.0000;6.8165;0.0000;-791.3500;0.0000;6.8165;1.0000;0.0000;0.0000;0.0000;0.0000
3;233.16;753.0000;679.0500;731.0000;-22.0000;29.7498;0.5265;0.0000;-753.0000;110.0000;-0.0414;0.0000;-753.0000;110.0000;-0.0414;1.0000;0.0000;0.0000;0.0000;0.0000
4;233.57;786.1500;777.2500;785.5000;-0.6500;7.3034;1.1365;0.0000;-786.1500;0.0000;6.8165;0.0000;-786.1500;0.0000;6.8165;1.0000;0.0000;0.0000;0.0000;0.0000
5;233.98;791.5500;797.2000;793.4500;1.9000;33.6283;0.4733;0.0000;-791.5500;0.0000;6.8165;0.0000;-791.5500;0.0000;6.8165;1.0000;0.0000;0.0000;0.0000;0.0000
6;234.38;799.5000;782.6000;789.8000;-9.7000;57.3964;0.2411;0.0000;-799.5000;110.0000;-0.0414;0.0000;-799.5000;110.0000;-0.0414;1.0000;0.0000;0.0000;0.0000;0.0000
7;234.79;797.6500;780.6500;788.1500;-9.5000;55.8824;0.2527;0.0000;-797.6500;0.0000;6.8165;0.0000;-797.6500;0.0000;6.8165;1.0000;0.0000;0.0000;0.0000;0.0000
8;235.20;798.2500;795.4000;791.6000;-6.6500;110.0000;-0.0414;0.0000;-798.2500;110.0000;-0.0414;0.0000;-798.2500;110.0000;-0.0414;1.0000;0.0000;0.0000;0.0000;0.0000
9;235.60;777.8500;797.0000;784.5000;6.6500;34.7258;0.4593;0.0000;-777.8500;0.0000;6.8165;0.0000;-777.8500;0.0000;6.8165;1.0000;0.0000;0.0000;0.0000;0.0000
10;236.01;780.6500;791.6000;794.1500;13.5000;110.0000;-0.0414;0.0000;-780.6500;0.0000;6.8165;0.0000;-780.6500;0.0000;6.8165;1.0000;0.0000;0.0000;0.0000;0.0000
