Date;2006-11-30 12:30:34
title;IBD
model;BTC112
c code;IBD
operator;
port1;0
baud1;3
pixel_start;0
pixel_end;2047
step;1
units;1
bkcolor;16777215
show_mode;0
data_mode;0
pixel_mode;0
intigration times;5
average number;20
spectrometer_type ;14
yaxis;1
yaxis_min;0
yaxis_max;65535
xaxis;1
xaxis_min;0
xaxis_max;2047
coefs_a0;231.943084241822
coefs_a1;0.406994147595924
coefs_a2;-4.3775084135389E-5
coefs_a3;-1.3768865065993E-9
coefs_b0;-728.069070757367
coefs_b1;3.36508502946526
coefs_b2;-0.0019617714298974
coefs_b3;2.01154622732E-6
all_data_save;1
select_option;-1
interval_time;50
pixel_num;2048
sel_pixel_start;0
sel_pixel_end;2047
sel_pixel_delta;1
dark_compensate;0
dark_compensate_value_1;0
dark_compensate_value_2;0
dark_compensate_value_3;0
monitor pixel_0;0
monitor pixel_1;0
monitor pixel_2;0
monitor pixel_3;0
monitor pixel_4;0
monitor pixel_5;0
vertical_line3_wv;250
vertical_line4_wv;250
vertical_line_flag;0
vertical_line_ratio;0
overlay_js;0
Pixel;Wavelength;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Raw data #2;Dark Subtracted #2;%TR #2;Absorbance #2;Raw data #3;Dark Subtracted #3;%TR #3;Absorbance #3;Errands Ref;Errands Fit;Irradiance_1;Irradiance_2;Irradiance_3
0;231.94;798.4000;783.7000;778.0000;-20.4000;110.0000;-0.0414;0.0000;-798.4000;110.0000;-0.0414;0.0000;-798.4000;110.0000;-0.0414;1.0000;0.0000;0.0000;0.0000;0.0000
1;232.35;798.4000;783.7000;778.0000;-20.4000;110.0000;-0.0414;0.0000;-798.4000;110.0000;-0.0414;0.0000;-798.4000;110.0000;-0.0414;1.0000;0.0000;0.0000;0.0000;0.0000
2;232.76;791.3500;791.9000;789.9500;-1.4000;0.0000;6.8165;0.0000;-791.3500;0.0000;6.8165;0.0000;-791.3500;0.0000;6.8165;1.0000;0.0000;0.0000;0.0000;0.0000
3;233.16;753.0000;679.0500;735.3000;-17.7000;23.9351;0.6210;0.0000;-753.0000;110.0000;-0.0414;0.0000;-753.0000;110.0000;-0.0414;1.0000;0.0000;0.0000;0.0000;0.0000
4;233.57;786.1500;777.2500;798.3500;12.2000;0.0000;6.8165;0.0000;-786.1500;0.0000;6.8165;0.0000;-786.1500;0.0000;6.8165;1.0000;0.0000;0.0000;0.0000;0.0000
5;233.98;791.5500;797.2000;782.9500;-8.6000;0.0000;6.8165;0.0000;-791.5500;0.0000;6.8165;0.0000;-791.5500;0.0000;6.8165;1.0000;0.0000;0.0000;0.0000;0.0000
6;234.38;799.5000;782.6000;790.4000;-9.1000;53.8462;0.2688;0.0000;-799.5000;110.0000;-0.0414;0.0000;-799.5000;110.0000;-0.0414;1.0000;0.0000;0.0000;0.0000;0.0000
7;234.79;797.6500;780.6500;800.6000;2.9500;0.0000;6.8165;0.0000;-797.6500;0.0000;6.8165;0.0000;-797.6500;0.0000;6.8165;1.0000;0.0000;0.0000;0.0000;0.0000
8;235.20;798.2500;795.4000;785.2000;-13.0500;110.0000;-0.0414;0.0000;-798.2500;110.0000;-0.0414;0.0000;-798.2500;110.0000;-0.0414;1.0000;0.0000;0.0000;0.0000;0.0000
9;235.60;777.8500;797.0000;795.2000;17.3500;90.6005;0.0429;0.0000;-777.8500;0.0000;6.8165;0.0000;-777.8500;0.0000;6.8165;1.0000;0.0000;0.0000;0.0000;0.0000
10;236.01;780.6500;791.6000;796.8000;16.1500;110.0000;-0.0414;0.0000;-780.6500;0.0000;6.8165;0.0000;-780.6500;0.0000;6.8165;1.0000;0.0000;0.0000;0.0000;0.0000
11;236.41;785.7500;801.9500;795.3500;9.6000;59.2593;0.2272;0.0000;-785.7500;0.0000;6.8165;0.0000;-785.7500;0.0000;6.8165;1.0000;0.0000;0.0000;0.0000;0.0000
12;236.82;791.8500;788.1000;787.7500;-4.1000;109.3333;-0.0388;0.0000;-791.8500;0.0000;6.8165;0.0000;-791.8500;0.0000;6.8165;1.0000;0.0000;0.0000;0.0000;0.0000
13;237.23;788.1500;787.7000;797.8000;9.6500;0.0000;6.8165;0.0000;-788.1500;0.0000;6.8165;0.0000;-788.1500;0.0000;6.8165;1.0000;0.0000;0.0000;0.0000;0.0000
14;237.63;792.8500;775.0000;791.1500;-1.7000;9.5238;1.0212;0.0000;-792.8500;110.0000;-0.0414;0.0000;-792.8500;110.0000;-0.0414;1.0000;0.0000;0.0000;0.0000;0.0000
15;238.04;779.1000;790.5000;796.1500;17.0500;110.0000;-0.0414;0.0000;-779.1000;0.0000;6.8165;0.0000;-779.1000;0.0000;6.8165;1.0000;0.0000;0.0000;0.0000;0.0000
16;238.44;789.3000;781.9000;794.8000;5.5000;0.0000;6.8165;0.0000;-789.3000;0.0000;6.8165;0.0000;-789.3000;0.0000;6.8165;1.0000;0.0000;0.0000;0.0000;0.0000
